"outcome","cohort","att","se","ci_lo","ci_hi","p_value","signif"
"fiscal_balance_pc",2013,-1505.8,812.7,-3098.7,87.1,0.064,"*"
"fiscal_balance_pc",2014,-515.5,365,-1230.8,199.8,0.158,""
"fiscal_balance_pc",2015,-271,286.7,-832.9,290.8,0.344,""
"fiscal_balance_pc",2016,14.2,1376.6,-2683.9,2712.3,0.992,""
"fiscal_balance_pc",2017,-198.3,249.6,-687.6,291,0.427,""
"fiscal_balance_pc",2018,-211,298.7,-796.4,374.3,0.48,""
"rev_total_pc",2013,-1523.9,1107.1,-3693.9,646,0.169,""
"rev_total_pc",2014,-309.7,568.5,-1423.9,804.6,0.586,""
"rev_total_pc",2015,-445.5,353.4,-1138.1,247.1,0.207,""
"rev_total_pc",2016,-208.8,1458.9,-3068.1,2650.6,0.886,""
"rev_total_pc",2017,-216.6,318.6,-841.1,407.9,0.497,""
"rev_total_pc",2018,111.8,427.1,-725.4,949,0.794,""
"rev_proptax_pc",2013,-60.9,240,-531.2,409.4,0.8,""
"rev_proptax_pc",2014,-108.5,107.9,-320.1,103.1,0.315,""
"rev_proptax_pc",2015,-33.9,132.3,-293.2,225.4,0.798,""
"rev_proptax_pc",2016,653,1317.7,-1929.7,3235.7,0.62,""
"rev_proptax_pc",2017,-9.2,58.3,-123.4,105.1,0.875,""
"rev_proptax_pc",2018,-2.1,74.9,-149,144.7,0.977,""
"exp_capital_pc",2013,-369.6,280.3,-919,179.9,0.187,""
"exp_capital_pc",2014,-207.8,129.7,-462,46.4,0.109,""
"exp_capital_pc",2015,-242.9,153.9,-544.4,58.7,0.115,""
"exp_capital_pc",2016,27.6,86.6,-142,197.3,0.75,""
"exp_capital_pc",2017,-47.4,58.6,-162.3,67.5,0.419,""
"exp_capital_pc",2018,95.9,122.9,-144.9,336.7,0.435,""
