"outcome","group","att","se","p_value"
"rev_total_pc",2017,359.5,897.1,0.689
"rev_total_pc",2022,181.9,341.1,0.594
"rev_proptax_pc",2017,414.4,754.4,0.583
"rev_proptax_pc",2022,-22.7,103.1,0.826
"rev_intergovt_pc",2017,49.1,165.8,0.767
"rev_intergovt_pc",2022,74.2,223.1,0.739
"exp_total_pc",2017,-282,394.2,0.474
"exp_total_pc",2022,173.9,334.1,0.603
"exp_capital_pc",2017,-32.6,247.7,0.895
"exp_capital_pc",2022,-48.3,168.9,0.775
"fiscal_balance_pc",2017,641.5,534.6,0.23
"fiscal_balance_pc",2022,8,249,0.974
"debt_lt_pc",2017,1507.9,1479.8,0.308
"debt_lt_pc",2022,2101,3567.9,0.556
