"outcome","spec","att","se","ci_lo","ci_hi","p_value","signif","n_treated","n_ctrl"
"fiscal_balance_pc","(0) Baseline",-277.5,246.2,-760,205.1,0.26,"",246,98
"fiscal_balance_pc","(1) Not-yet-treated",-379.4,448.1,-1257.6,498.8,0.397,"",246,98
"fiscal_balance_pc","(2) Drop outliers",-277.5,251.4,-770.1,215.2,0.27,"",246,98
"fiscal_balance_pc","(3) 6-state (no CO/UT)",-277.5,236.9,-741.8,186.9,0.242,"",221,94
"fiscal_balance_pc","(4) WHP 2014 xformla",-262.9,249.4,-751.8,225.9,0.292,"",246,98
"fiscal_balance_pc","(5) Excl. California",-208.7,299,-794.8,377.3,0.485,"",194,93
"rev_total_pc","(0) Baseline",-324.7,315.5,-943.2,293.7,0.303,"",246,98
"rev_total_pc","(1) Not-yet-treated",-361.7,441.1,-1226.1,502.8,0.412,"",246,98
"rev_total_pc","(2) Drop outliers",-324.7,310.5,-933.3,283.8,0.296,"",246,98
"rev_total_pc","(3) 6-state (no CO/UT)",-324.7,322.5,-956.8,307.3,0.314,"",221,94
"rev_total_pc","(4) WHP 2014 xformla",-335.5,329,-980.3,309.3,0.308,"",246,98
"rev_total_pc","(5) Excl. California",-422.3,336.8,-1082.4,237.9,0.21,"",194,93
"exp_capital_pc","(0) Baseline",-181.4,118.8,-414.2,51.5,0.127,"",246,98
"exp_capital_pc","(1) Not-yet-treated",-118.5,73.3,-262.1,25.1,0.106,"",246,98
"exp_capital_pc","(2) Drop outliers",-181.4,116.9,-410.4,47.7,0.121,"",246,98
"exp_capital_pc","(3) 6-state (no CO/UT)",-181.4,126.1,-428.6,65.9,0.151,"",221,94
"exp_capital_pc","(4) WHP 2014 xformla",-154.9,98.1,-347.2,37.4,0.114,"",246,98
"exp_capital_pc","(5) Excl. California",-93.2,82.7,-255.3,69,0.26,"",194,93
